Topic,Claim (Fake News),Who Said It,Date,Actual Rating,Proof Link
Climate change hoax,"Judith Curry gets no media coverage and she says climate changes is a ""hoax.""",Social media posts,2023-12-04T00:00:00Z,False,https://www.factcheck.org/2023/12/scicheck-meme-makes-misleading-comparison-to-cast-doubt-on-climate-change/
Climate change hoax,Sea ice and temperature data show climate change is a hoax,social media,2025-01-29T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2025/02/14/global-temperature-sea-ice-fact-check/78389070007/
Climate change hoax,US July temperatures show climate change is a hoax,Social media,2024-08-03T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2024/08/12/july-temperatures-climate-change-hoax-fact-check/74708631007/
Climate change hoax,"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",Hillary Clinton,2016-06-02T00:00:00Z,Mostly True,https://www.politifact.com/factchecks/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/
Climate change hoax,Greenhouse CO2 supplementation shows climate change is a 'scam',Social media,2024-10-29T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2024/11/08/greenhouse-co2-climate-change-fact-check/76053137007/
Climate change hoax,August temperature comparison shows CO2-driven global warming is a 'hoax',social media,2024-09-03T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2024/09/13/hot-august-1983-climate-hoax-fact-check/75176844007/
Climate change hoax,Man-made climate change is a hoax,social media users,2021-04-19T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2021/04/22/fact-check-scientific-consensus-humans-main-cause-climate-change/7336153002/
Climate change hoax,"Viral posts claim that climate change is a ""made-up catastrophe.""",Social media posts,2019-04-28T00:00:00Z,False,https://www.factcheck.org/2019/05/no-climate-change-isnt-made-up/
Climate change hoax,"Earth is in a cooling phase, which questions scientific proof behind human-driven global warming",Joe Rogan,2025-06-24T00:00:00Z,Misleading,https://factcheck.afp.com/doc.afp.com.64Q68ZT
Climate change hoax,"""I'm not denying climate change. But it could very well go back.""",Donald Trump,2018-10-14T00:00:00Z,Distorts the Facts,https://www.factcheck.org/2018/10/trump-wrong-on-climate-change-again/
Climate change hoax,An ocean temperature decrease between 2013-2022 proves global warming is a hoax.,Facebook users,2025-07-20T10:00:00Z,Misleading. The claim is based on cherry-picked data and evidence shows global warming is real.,https://www.aap.com.au/factcheck/cherry-picked-ocean-data-does-not-prove-climate-change-is-a-hoax/
Climate change hoax,Study shows global warming is a 'hoax',Social media,2024-10-21T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2024/10/29/study-485-million-years-warming-hoax-fact-check/75697535007/
Climate change hoax,"""NOAA makes it official. Last 8 years... global cooling.""",Steve Milloy,2023-01-12T00:00:00Z,Distorts the Facts,https://www.factcheck.org/2023/01/scicheck-viral-tweet-misrepresents-noaa-report-on-rising-global-temperature/
Climate change hoax,Scientists have had to pause the Climate Change Hoax Scam,Unknown,2025-05-05T00:00:00Z,"Misleading: One post even featured a GIF that the user believed showed new land emerging off the coast of Dubai due to falling sea levels — apparently unaware of the artificial Palm Islands constructed there between 2001 and 2007. The findings in the Chinese study are based on publicly available data from NASA's Gravity Recovery and Climate Experiment satellites, which have been measuring the Earth's gravitational field since 2002 and have documented changes in the planet's ice and water masses. The data may be correct, but its interpretation by conspiratorial social media users is not — a situation not helped by the researchers' decision to insert an increasing average trend curve next to the preceding decreasing curve depicting ice mass.  ""This is perfect fodder for people who are intentionally looking to spread disinformation,"" said Johannes Feldmann, a physicist at the Potsdam Institute for Climate Impact Research near Berlin.  Feldmann emphasized that climate science relies on long-term data — typically over 20 to 30 years — to identify meaningful trends. ""Two, three or even five years are far too little to identify a long-term trend,"" he explained.  Cherry-picking short-term data is a common tactic among climate change deniers. ""There are always phases where the increase [in temperature] levels off a bit, which people suddenly take to mean: global warming has stopped, the trend is reversing,"" Feldmann added. ""But it's never turned out to be true.""",https://www.dw.com/en/fact-check-climate-deniers-misinterpret-antarctic-ice-study/a-73044336
Climate change hoax,"""The amount of carbon dioxide in the atmosphere is actually close to an all-time low ever in human history.""",Vivek Ramaswamy,2023-09-01T00:00:00Z,False,https://www.factcheck.org/2023/09/scicheck-ramaswamys-climate-change-spin/
Climate change hoax,"“Climate change is not happening.""",Social media posts,2022-07-26T00:00:00Z,False,https://www.factcheck.org/2022/08/unequivocal-evidence-that-humans-cause-climate-change-contrary-to-posts-of-old-video/
Climate change hoax,Greta Thunberg said climate change is a hoax,Social media,2023-01-31T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2023/02/03/fact-check-no-greta-thunberg-did-not-say-climate-change-hoax/11171060002/
